"Date","Review"
"February 3, 2015","Great app I would recommend it and me and my dog run around my house listening to this app"
"February 1, 2016","L.O.V.E spotify"
"September 22, 2015","Couldn't ask for anything better than this!!"
"April 16, 2015","I love it but when I go on my phone I'm only allowed to use he shuffle button"
"February 20, 2015","Spotify rocks!!! I've downloaded music that I haven't heard in decades. Keep on rockin!!"
"May 30, 2015","Very good music app, but I have to say it works better on my iPhone."
"February 28, 2016","Love it!!"
"January 9, 2016","Good for working out"
"December 26, 2015","Great workout selection"
"February 18, 2016","Yep its raw"
"November 2, 2014","This app is a great app I love listening to all of my favorite music on it.It is way better than pandora!!!!"
"September 21, 2015","It's a great app and I use it everday!!!!!!!"
"July 4, 2015","I am so glad this application works well with Blackberry Q10."
"January 22, 2016","What a great app!"
"January 2, 2015","Spotify is a great App for all devices and I find no wrong or bugs with its truly easy and great"
"May 15, 2015","Love it, lots better than Pandora easy to find all the music you want."
"November 17, 2014","I really like this app. It makes it easy to look up certain songs so that you can listen to them anytime."
"October 9, 2015","It's great for all devices anywhere u at"
"December 3, 2015","The best music on the planet"
"March 29, 2016","Kk"
"December 12, 2014","This app is by far the best music player and downloader app I have gotten yet! I highly recommend it"
"January 21, 2016","This app is g8 m8"
"August 25, 2014","Great music selection. Everything and more then I hoped for on the kindle version of this app. Thank you spotify! You win"
"December 27, 2014","Best music app out there. Has hundreds of songs. It even has older songs, like in the 60's songs."
"February 17, 2016","Great music"
"January 22, 2015","I love that I can play all the music I want for free. You get to download all the new songs."
"October 4, 2015","THE BEST APP EVER!!!! NEXT UP, PREMIUM!!!"
"September 20, 2014","I love this app! In less then 2 days I have so many play lists with around 200 songs!!! Love this more than Pandora!"
"October 13, 2015","Best streaming app, bar none, below par"
"January 6, 2015","Looks to have a great variety of music styles and seems fairly easy to use-operate. Thank you."
"March 5, 2015","This is the best app ever it only has one flaw I can only listen to my music at home."
"November 10, 2014","One of the best apps ever. Trust me. It lets you pick any song you could want in the history of the world."
"February 21, 2016","Good good."
"September 10, 2015","What an outstanding selection of music, truly!"
"December 20, 2015","No problems on my end :)"
"January 26, 2015","Love this station best music I have heard excellent can not stop hearing it love it love it"
"October 26, 2014","It's awesome that you can like all these songs and it adds to play list. Plus unlimited skips for everything."
"May 23, 2015","I think that this app is awesome it has every thing I give it 5 stars"
"May 23, 2015","I love it but it need a couple a kinks to work out but its still good"
"March 4, 2015","It is really fun if you don't want to have to buy music. I wish you didn't need wifi."
"January 6, 2016","#1 music app around."
"March 18, 2016","COOL"
"August 18, 2014","It's totally love Spotify! So user friendly and has so much music to choose. I recommend downloading this APP to everyone."
"May 28, 2017","Oh heck yeah! I subscribe so I get my music any way I want, any time I want. It puts my own playlist a little way down, making access to my chosen songs something I have to pursue. I'd like to be able to control whether their 'suggestions' are on top of my playlist. (My playlist would be on top always) but there is a ""My Library"" button, so... I love Spotify and this app serves me well, I'm a happy happy customer"
"December 28, 2015","This spot on app kills"
"January 15, 2015","Why I waited so long to used,nice and clear music.all the music you want in one apps,so cool."
"November 17, 2015","Great Music! Can pick your own."
"January 24, 2016","The Best of Best"
"February 20, 2016","Great job!"
"October 7, 2015","Good on tablet but I hate it on my phone"
"November 24, 2014","Love this app. Has literally every album you can imagine and a wide range of different styles of music!"
"January 24, 2016","Great playlists,"
"July 20, 2015","What's not to like.....maybe they could pay artists more."
"March 4, 2016","Love it"
"February 24, 2016","Good app."
"October 20, 2015","It's to keep your music anywhere u go"
"February 6, 2016","Love Spotify!"
"November 12, 2015","Free music!! What more can I say"
"February 19, 2016","Nice reall"
"July 24, 2015","Perfect except the premium membership is very expensive."
"January 24, 2015","Great app, can listen to all songs easily, awesome interface, and the world's coolest logo."
"August 22, 2014","I love this app. It has all the artists and songs I look for. It's nice being able to make and customize my own playlist."
"September 27, 2015","I really enjoy the many choices on spotify"
"May 16, 2015","I don't know how to upgrade to premium and it's making me really angry"
"March 27, 2015","Love this app, have only tried free version. Suits all my music listening needs."
"January 27, 2016","Ba ba ba ba bam"
"October 19, 2015","It's the best for listening to music!"
"March 3, 2016","Love it"
"May 30, 2015","the greatest app for music, maybe not musicians, but for listeners."
"January 9, 2016","Better than Pandora"
"May 20, 2015","I pay for premium and that is the best ten dollars spent every month."
"August 20, 2015","Love this app, able to get the music I love, JAZZ!"
"September 12, 2015","I love it ,it is the best music app out there"
"October 10, 2015","This is my favorite app ever!!!!!!!!!!!"
"February 27, 2016","Love it."
"November 15, 2015","Love it! There's nothing better"
"February 27, 2016","Its good"
"January 31, 2016","Good for free."
"October 9, 2015","it's all free all I want nothing better"
"March 2, 2016","Love it"
"February 1, 2015","I can go a single day without playing this app. As a music lover I can't live without it!"
"June 8, 2015","I think, it is a good app. You can choose any song to listen too."
"November 10, 2015","I think this awesome for my kids"
"September 16, 2015","This app opens the door to a world of music."
"February 4, 2016","It is awesome"
"February 20, 2015","After months of trying out music apps, all of them frustrating me, I stumbled upon this one, this one was so relieving to find. The sound quality is amazing, you can find virtually any song or album, and you can choose to listen to individual songs, listen to albums, or your own playlists (most of my consisting of over 100 songs) you can also choose to listen to ""the radio"" with stations like Pandora and actual stations, so really no drawbacks! I've been using it for about half a year and I love it! I was on premium for a while and that shows something! I never spend money on apps! But premium was worth it 100%"
"May 29, 2015","I am having a great time making a playlist. Very easy to work with."
"January 17, 2015","You can listen to any song in the world for just $0.00!!!!!!😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎"
"July 22, 2015","Easy to use and has most every released album or single."
"December 17, 2014","All I can say is that I love Spotify and all it does for me a music junkie. Good job fellows!"
"March 2, 2016","It's ok"
"March 2, 2016","Love it"
"January 3, 2016","Having fun with it:)"
"June 17, 2014","I have spotify on my computer as my primary and only music player. I've not had any issues with the app or with spotify in of itself."
"December 16, 2015","Genial aplicación"
"February 27, 2016","Love this app"
"December 2, 2015","This is an amazing app!!!!!"
"August 9, 2015","A great radio station that has good music to the ear"
"February 17, 2016","It is fun."
"October 26, 2015","Great app and even greater service!"
"September 10, 2015","The best!!! Helps you find New favorite songs"
"March 1, 2016","Awesome"
"February 7, 2016","Spicy Memes."
"November 5, 2014","it is nice to know that I can listen to my music that I like at any point in time with Spotify its spot on"
"December 15, 2015","Love it easy to navigate"
"March 4, 2015","Like the music and all the options to choose from. Don't like the commercial however"
"January 20, 2016","They force me to"
"February 16, 2016","Excellent!"
"March 9, 2016","Fine."
"September 3, 2014","My granddaughter loves music, and this channel keeps her dancing and singing through the whole house !!! she loves it"
"July 20, 2015","Great and free music app. But I do not like to hear ads."
"December 10, 2014","Love this app! I like being able to search for the songs I want to hear and make my own playlists."
"October 14, 2014","I love this service!!! The ability to organize your music into play lists and just relax and listen awesome!!!"
"December 28, 2015","Great app if you pay."
"March 23, 2015","Stops and starts a lot. Album cover pics do not show up while songs are playing."
"November 21, 2015","It won't let me search music."
"September 13, 2015","Great music app &#34;free music&#34;"
"November 25, 2015","Best App Better than Pandora"
"January 23, 2016","Its the best!?!"
"December 31, 2015","🎊🎉🎉🎉🎉🎉🎉🎉🎊🎇"
"November 23, 2014","Great app with awesome sound quality! I like listening to my music on my kindle fire more on my phone!"
"February 20, 2015","Prefer to use the full version... Hope the app gets easier to use as I get used to it."
"August 16, 2014","Love the app. It has all the types of music I love, and the songs I love too. It also has plenty of types of newer music."
"April 11, 2015","Better than Pandora, music is crisp and clear. music is up to date, perfect."
"September 27, 2014","I use this app as my music player for my beats pill and the new studios they should get beats music yea sssssssss"
"July 9, 2015","I am enjoying the music very much. I make my day brighter."
"January 27, 2016","Love spotify!!"
"July 9, 2015","Great app, especially if Prime Music isn't enough for you."
"January 23, 2015","The pro is worth every penny. Love the offline feature. Great for when there's no wi-fi."
"August 6, 2015","Free music, all the latest hits. What's not to like!"
"October 28, 2014","It's good on my kindle. But I can't play individual songs on my iPhone. I have to play the whole playlist ."
